Title,Product Number,Image,Size,Packaging,Inner Price,Case Price,UPC,Availability,Description,Features
Decorative Hanging Bubbles Chandelier - Silver,72-0078SV,https://portofino.azureedge.net/72-0078SV.jpg,"7½"" x 57""",8EA/INNER / 8EA/CASE,$17.95 EA,$16.95 EA,745910699257,13 Cases and 0 Inner,Light up a room with our colorful chandeliers! These iridescent bubble beaded chandeliers can be used alone or add a light fixture (not included) for your event or use at home as a room accent.,
Decorative Hanging Bubbles Chandelier - Iridescent,72-0078WHAB,https://portofino.azureedge.net/72-0078WHAB.jpg,"7½"" x 57""",8EA/INNER / 8EA/CASE,$17.95 EA,$16.95 EA,745910699271,13 Cases and 0 Inner,Light up a room with our colorful chandeliers! These iridescent bubble beaded chandeliers can be used alone or add a light fixture (not included) for your event or use at home as a room accent.,
Pipe And Drape Kit Extra Cross Bar Hanger 9” 2pc/set,72-0108,https://portofino.azureedge.net/72-0108.jpg,9“,1SET/INNER / 1SET/CASE,$15.95 EA,$15.95 EA,745910736761,12 Cases and 0 Inner,This small hook is meant to securely hold crossbars to upright supports.  Handy to have in your kit just in case you drop or lose a hanger.,
Portable Backdrop Kit In A Box 10ft x 8ft,72-0118,https://portofino.azureedge.net/72-0118pic.jpg,"6-10ft wide, 8ft height",1EA/INNER / 1EA/CASE,$149.99 EA,$149.99 EA,745910738956,36 Cases and 0 Inner,,
Crystal Iridescent Diamond Cut Chandelier Short Three Layered,72-0011,https://portofino.azureedge.net/72-0011.jpg,"10"" X 12""",6EA/INNER / 12EA/CASE,$14.95 EA,$13.25 EA,745721026358,72 Cases and 0 Inner,"Bring a touch of romance to your next wedding or formal event! Our iridescent Crystal Diamond Cut Chandelier measures 12 inches long, has three tiers and can be used alone or add a light fixture (not included) for your event or use at home as a room accent.",
Crystal Iridescent Gemstone Shape Chandelier,72-0039,https://portofino.azureedge.net/72-0039.jpg,"10"" X 15""",5EA/INNER / 10EA/CASE,$14.95 EA,$13.25 EA,745721004356,7 Cases and 0 Inner,Bring a touch of romance to your next wedding or formal event! Our iridescent Crystal gemstone shaped Chandelier measures 15 inches long and can be used alone or add a light fixture (not included) for your event or use at home as a room accent.,
"Mirror Disco Balls 12"" - Gold",75-1392GD,https://portofino.azureedge.net/75-1392GD.jpg,"11½""",4EA/INNER / 4EA/CASE,$13.95 EA,$13.95 EA,745910738369,10 Cases and 0 Inner,"The ultimate party decoration, the disco ball is a classic.  This 12"" version is covered in thousands of tiny mirrors to reflect light.  Non-motored and non-lit, but perfect for any event or occasion.  No batteries required, just a place ot hang it and party. All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Mirror Disco Balls 12"" - Rose Gold",75-1392RG,https://portofino.azureedge.net/75-1392RG.jpg,"11½""",4EA/INNER / 4EA/CASE,$13.95 EA,$13.95 EA,745910738376,11 Cases and 0 Inner,"The ultimate party decoration, the disco ball is a classic.  This 12"" version is covered in thousands of tiny mirrors to reflect light.  Non-motored and non-lit, but perfect for any event or occasion.  No batteries required, just a place ot hang it and party. All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Mirror Disco Balls 12"" - Silver",75-1392SV,https://portofino.azureedge.net/75-1392SV.jpg,"11½""",4EA/INNER / 4EA/CASE,$13.95 EA,$13.95 EA,745910698588,7 Cases and 0 Inner,"The ultimate party decoration, the disco ball is a classic.  This 12"" version is covered in thousands of tiny mirrors to reflect light.  Non-motored and non-lit, but perfect for any event or occasion.  No batteries required, just a place ot hang it and party. All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
Crystal Iridescent Chandelier,72-0099,https://portofino.azureedge.net/72-0099.jpg,"9"" x 10""",12EA/INNER / 12EA/CASE,$11.95 EA,$10.95 EA,745910734293,6 Cases and 0 Inner,,
"Glass Charger Plate 12¾"" - Gold",90-1015GD,https://portofino.azureedge.net/90-1015GD.jpg,"12¾""",8EA/INNER / 8EA/CASE,$8.50 EA,$7.50 EA,745721065166,25 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 12¾"" - Silver",90-1015SV,https://portofino.azureedge.net/90-1015SV.jpg,"12¾""",8EA/INNER / 8EA/CASE,$8.50 EA,$7.50 EA,745721065173,45 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-1016GD,https://portofino.azureedge.net/90-1016GD.jpg,"13""",8EA/INNER / 8EA/CASE,$8.50 EA,$7.50 EA,745721065180,82 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-1016SV,https://portofino.azureedge.net/90-1016SV.jpg,"13""",8EA/INNER / 8EA/CASE,$8.50 EA,$7.50 EA,745721065197,47 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-1018SV,https://portofino.azureedge.net/90-1018SV.jpg,"13""",8EA/INNER / 8EA/CASE,$8.50 EA,$7.50 EA,745721065234,1 Case and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0468GD,https://portofino.azureedge.net/90-0468GD.jpg,"13""",8EA/INNER / 8EA/CASE,$8.50 EA,$7.50 EA,745721067023,Please contact us for availability.,An elegant and stylish addition to any decorative table for a variety of events. This charger plate designed to look like a flower at bloom sets the stage for any party.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0468SV,https://portofino.azureedge.net/90-0468SV.jpg,"13""",8EA/INNER / 8EA/CASE,$8.50 EA,$7.50 EA,745721067009,Please contact us for availability.,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0627GD,https://portofino.azureedge.net/90-0627GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732640,88 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Rose Gold",90-0627RG,https://portofino.azureedge.net/90-0627RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732664,56 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0627SV,https://portofino.azureedge.net/90-0627SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732657,89 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Rose Gold",90-0628RG,https://portofino.azureedge.net/90-0628RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732695,32 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0628SV,https://portofino.azureedge.net/90-0628SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732688,33 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0629GD,https://portofino.azureedge.net/90-0629GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732701,74 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Rose Gold",90-0629RG,https://portofino.azureedge.net/90-0629RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732725,73 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0629SV,https://portofino.azureedge.net/90-0629SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732718,91 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0630GD,https://portofino.azureedge.net/90-0630GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732732,82 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Rose Gold",90-0630RG,https://portofino.azureedge.net/90-0630RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732756,72 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0630SV,https://portofino.azureedge.net/90-0630SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732749,89 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0632GD,https://portofino.azureedge.net/90-0632GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732763,89 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Rose Gold",90-0632RG,https://portofino.azureedge.net/90-0632RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732787,72 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0632SV,https://portofino.azureedge.net/90-0632SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732770,88 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Reef Charger Plate 13"" - Gold",90-1017GD,https://portofino.azureedge.net/90-1017GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745721065203,158 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Reef Charger Plate 13"" - Rose Gold",90-1017RG,https://portofino.azureedge.net/90-1017RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710587,31 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Reef Charger Plate 13"" - Silver",90-1017SV,https://portofino.azureedge.net/90-1017SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745721065210,Please contact us for availability.,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Reef Charger Plate 13"" - White Iridescent",90-1017WHAB,https://portofino.azureedge.net/90-1017WHAB.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910733081,17 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with Beaded Rim 12½"" - Gold",90-0438GD,https://portofino.azureedge.net/90-0438GD.jpg,"12½""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745721057260,5 Cases and 0 Inner,"Featuring an elegant and clean style, this glass charvger plate will be an addition to any table for a variety of events. Its clean design and construction carries well across all colorings ans settings, making it an ideal go -to for all settings.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Glass Charger Plate with Beaded Rim 12½"" - Rose Gold",90-0438RG,https://portofino.azureedge.net/90-0438RG.jpg,"12½""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710594,63 Cases and 0 Inner,"Featuring an elegant and clean style, this glass charvger plate will be an addition to any table for a variety of events. Its clean design and construction carries well across all colorings ans settings, making it an ideal go -to for all settings.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Glass Charger Plate with Beaded Rim 12½"" - Silver",90-0438SV,https://portofino.azureedge.net/90-0438SV.jpg,"12½""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745721057277,34 Cases and 0 Inner,"Featuring an elegant and clean style, this glass charvger plate will be an addition to any table for a variety of events. Its clean design and construction carries well across all colorings ans settings, making it an ideal go -to for all settings.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Glass Charger Plate 13"" - Rose Gold",90-0469RG,https://portofino.azureedge.net/90-0469RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710570,39 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0469SV,https://portofino.azureedge.net/90-0469SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745721067030,34 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - White",90-0469WH,https://portofino.azureedge.net/90-0469WH.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745721067238,44 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 0.5 cm Metallic Rim 13"" - Gold",90-0549GD,https://portofino.azureedge.net/90-0549GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710518,5 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 0.5 cm Metallic Rim 13"" - Rose Gold",90-0549RG,https://portofino.azureedge.net/90-0549RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710488,35 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 0.5 cm Metallic Rim 13"" - Silver",90-0549SV,https://portofino.azureedge.net/90-0549SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710525,45 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 1.1 cm Metallic Rim 13"" - Gold",90-0550GD,https://portofino.azureedge.net/90-0550GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710532,50 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 1.1 cm Metallic Rim13"" - Rose Gold",90-0550RG,https://portofino.azureedge.net/90-0550RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710495,51 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 1.1 cm Metallic Rim 13"" - Silver",90-0550SV,https://portofino.azureedge.net/90-0550SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710549,56 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 2.3 cm Metallic Rim 13"" - Gold",90-0551GD,https://portofino.azureedge.net/90-0551GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710556,39 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 2.3 cm Metallic Rim 13"" - Rose Gold",90-0551RG,https://portofino.azureedge.net/90-0551RG.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710501,46 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate with 2.3 cm Metallic Rim 13"" - Silver",90-0551SV,https://portofino.azureedge.net/90-0551SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710563,24 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0552GD,https://portofino.azureedge.net/90-0552GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710679,3 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0552SV,https://portofino.azureedge.net/90-0552SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910710686,27 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0585GD,https://portofino.azureedge.net/90-0585GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910717258,51 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0585SV,https://portofino.azureedge.net/90-0585SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910717265,62 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0586GD,https://portofino.azureedge.net/90-0586GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910717272,39 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0586SV,https://portofino.azureedge.net/90-0586SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910717289,63 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0587GD,https://portofino.azureedge.net/90-0587GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910717296,63 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-0587SV,https://portofino.azureedge.net/90-0587SV.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910717302,53 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-0628GD,https://portofino.azureedge.net/90-0628GD.jpg,"13""",8EA/INNER / 8EA/CASE,$7.50 EA,$7.50 EA,745910732671,1 Case and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Gold",90-1019GD,https://portofino.azureedge.net/90-1019GD.jpg,"13""",8EA/INNER / 8EA/CASE,$5.50 EA,$5.50 EA,745721065241,14 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Glass Charger Plate 13"" - Silver",90-1019SV,https://portofino.azureedge.net/90-1019SV.jpg,"13""",8EA/INNER / 8EA/CASE,$5.50 EA,$5.50 EA,745721065258,33 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Beaded Rectangle Plastic Plate 13"" - Gold",15-0689GD,https://portofino.azureedge.net/15-0689GD.jpg,"15¾"" x 10¾"" x 1½""",12EA/INNER / 12EA/CASE,$3.50 EA,$3.50 EA,745910727134,Please contact us for availability.,,
"Glitter Rectangle Plastic Plate 13"" - Gold",15-0690GD,https://portofino.azureedge.net/15-0690GD.jpg,"15¾"" x 10¾"" x 1½""",12EA/INNER / 12EA/CASE,$3.50 EA,$3.50 EA,745910727158,Please contact us for availability.,,
"Glitter Rectangle Plastic Plate 13"" - Silver",15-0690SV,https://portofino.azureedge.net/15-0690SV.jpg,"15¾"" x 10¾"" x 1½""",12EA/INNER / 12EA/CASE,$3.50 EA,$3.50 EA,745910727165,Please contact us for availability.,,
"Beaded Rectangle Plastic Plate 13"" - Silver",15-0689SV,https://portofino.azureedge.net/15-0689SV.jpg,"15¾"" x 10¾"" x 1½""",12EA/INNER / 12EA/CASE,$3.50 EA,$3.50 EA,745910727141,Please contact us for availability.,,
"Glass Plate 13""",90-1012,https://portofino.azureedge.net/90-1012.jpg,"13""",8EA/INNER / 8EA/CASE,$3.25 EA,$2.95 EA,745721065050,28 Cases and 0 Inner,Celebrate your style! Create a stylish table setting with our round plastic charger plate. Use as is for a simple touch or embellish it to fit your occasion. All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate with Beaded Rim 12½"" - Gold",15-0606GD,https://portofino.azureedge.net/15-0606GD.jpg,"12½""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910718583,424 Cases and 0 Inner,"Create a stylish table setting with our round plastic charger plate. This 13"" plate can be enhanced with candles, crystal fillers, sand and so much more to create a beautiful centerpiece. Item is not dishwasher safe. Hand wash only.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Plastic Charger Plate with Beaded Rim 12½"" - Rose Gold",15-0606RG,https://portofino.azureedge.net/15-0606RG.jpg,"12½""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910732985,60 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate with Beaded Rim 12½"" - Silver",15-0606SV,https://portofino.azureedge.net/15-0606SV.jpg,"12½""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910718576,87 Cases and 0 Inner,"Create a stylish table setting with our round plastic charger plate. This 13"" plate can be enhanced with candles, crystal fillers, sand and so much more to create a beautiful centerpiece. Item is not dishwasher safe. Hand wash only.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Plastic Charger Plate 13"" - Gold",15-0703GD,https://portofino.azureedge.net/15-0703GD.jpg,"13""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910732800,35 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate 13"" - Rose Gold",15-0703RG,https://portofino.azureedge.net/15-0703RG.jpg,"13""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910732824,65 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate 13"" - Silver",15-0703SV,https://portofino.azureedge.net/15-0703SV.jpg,"13""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910732817,44 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate 13"" - Gold",15-0704GD,https://portofino.azureedge.net/15-0704GD.jpg,"13""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910732831,34 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate 13"" - Rose Gold",15-0704RG,https://portofino.azureedge.net/15-0704RG.jpg,"13""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910732855,61 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate 13"" - Silver",15-0704SV,https://portofino.azureedge.net/15-0704SV.jpg,"13""",24EA/INNER / 24EA/CASE,$2.25 EA,$2.25 EA,745910732848,40 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate 13"" - Gold",15-0601GD,https://portofino.azureedge.net/15-0601GD.jpg,"13""",24EA/INNER / 24EA/CASE,$2.15 EA,$2.15 EA,745910718682,206 Cases and 0 Inner,"Create a stylish table setting with our round plastic charger plate. This 13"" plate can be enhanced with candles, crystal fillers, sand and so much more to create a beautiful centerpiece. Item is not dishwasher safe. Hand wash only.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Plastic Charger Plate 13"" - Rose Gold",15-0601RG,https://portofino.azureedge.net/15-0601RG.jpg,"13""",24EA/INNER / 24EA/CASE,$2.15 EA,$2.15 EA,745910733012,44 Cases and 0 Inner,All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.,
"Plastic Charger Plate 13"" - Silver",15-0601SV,https://portofino.azureedge.net/15-0601SV.jpg,"13""",24EA/INNER / 24EA/CASE,$2.15 EA,$2.15 EA,745910718699,260 Cases and 0 Inner,"Create a stylish table setting with our round plastic charger plate. This 13"" plate can be enhanced with candles, crystal fillers, sand and so much more to create a beautiful centerpiece. Item is not dishwasher safe. Hand wash only.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Plastic Charger Plate 13"" - Gold",15-0603GD,https://portofino.azureedge.net/15-0603GD.jpg,"13""",24EA/INNER / 24EA/CASE,$2.15 EA,$2.15 EA,745910718637,162 Cases and 0 Inner,"Create a stylish table setting with our round plastic charger plate. This 13"" plate can be enhanced with candles, crystal fillers, sand and so much more to create a beautiful centerpiece. Item is not dishwasher safe. Hand wash only.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Plastic Charger Plate 13"" - Silver",15-0603SV,https://portofino.azureedge.net/15-0603SV.jpg,"13""",24EA/INNER / 24EA/CASE,$2.15 EA,$2.15 EA,745910718644,143 Cases and 0 Inner,"Create a stylish table setting with our round plastic charger plate. This 13"" plate can be enhanced with candles, crystal fillers, sand and so much more to create a beautiful centerpiece. Item is not dishwasher safe. Hand wash only.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
"Plastic Charger Plate 13"" - Gold",15-0605GD,https://portofino.azureedge.net/15-0605GD.jpg,"13""",24EA/INNER / 24EA/CASE,$2.15 EA,$2.15 EA,745910718590,189 Cases and 0 Inner,"Create a stylish table setting with our round plastic charger plate. This 13"" plate can be enhanced with candles, crystal fillers, sand and so much more to create a beautiful centerpiece. Item is not dishwasher safe. Hand wash only.    All Glass Purchasers must agree to our Glass Policy. Please click this LINK to review this policy. You will be asked to agree at checkout.",
